Day,Week,Date,LC#,Problem Name,Difficulty,Pattern,Time Taken (min),Result,Needs Revisit,Revisit By,Notes
1,1,,1,Two Sum,Easy,HashMap,,,,,
1,1,,121,Best Time to Buy and Sell Stock,Easy,Sliding Window,,,,,
1,1,,217,Contains Duplicate,Easy,HashSet,,,,,
2,1,,125,Valid Palindrome,Easy,Two Pointers,,,,,
2,1,,15,3Sum,Medium,Two Pointers + Sort,,,,,
2,1,,11,Container With Most Water,Medium,Two Pointers,,,,,
3,1,,3,Longest Substring Without Repeating Characters,Medium,Sliding Window,,,,,
3,1,,567,Permutation in String,Medium,Sliding Window + HashMap,,,,,
3,1,,76,Minimum Window Substring,Hard,Sliding Window,,,,,
4,1,,49,Group Anagrams,Medium,HashMap + Sorting,,,,,
4,1,,347,Top K Frequent Elements,Medium,HashMap + Heap,,,,,
4,1,,238,Product of Array Except Self,Medium,Prefix/Suffix,,,,,
5,1,,242,Valid Anagram,Easy,HashMap,,,,,
5,1,,271,Encode and Decode Strings,Medium,String Encoding,,,,,
5,1,,128,Longest Consecutive Sequence,Medium,HashSet,,,,,
6,1,,53,Maximum Subarray,Medium,Kadane's,,,,,
6,1,,167,Two Sum II,Medium,Two Pointers,,,,,
6,1,,42,Trapping Rain Water,Hard,Two Pointers,,,,,
8,2,,206,Reverse Linked List,Easy,Iterative/Recursive,,,,,
8,2,,21,Merge Two Sorted Lists,Easy,Two Pointers,,,,,
8,2,,143,Reorder List,Medium,Fast/Slow + Reverse,,,,,
9,2,,141,Linked List Cycle,Easy,Fast/Slow Pointers,,,,,
9,2,,287,Find the Duplicate Number,Medium,Fast/Slow (Floyd's),,,,,
9,2,,876,Middle of the Linked List,Easy,Fast/Slow,,,,,
10,2,,20,Valid Parentheses,Easy,Stack,,,,,
10,2,,155,Min Stack,Medium,Stack with Auxiliary,,,,,
10,2,,739,Daily Temperatures,Medium,Monotonic Stack,,,,,
11,2,,496,Next Greater Element I,Easy,Monotonic Stack,,,,,
11,2,,853,Car Fleet,Medium,Monotonic Stack,,,,,
11,2,,84,Largest Rectangle in Histogram,Hard,Monotonic Stack,,,,,
12,2,,239,Sliding Window Maximum,Hard,Monotonic Deque,,,,,
12,2,,622,Design Circular Queue,Medium,Array-based Queue,,,,,
12,2,,19,Remove Nth Node From End of List,Medium,Two Pointers,,,,,
13,2,,138,Copy List with Random Pointer,Medium,HashMap,,,,,
13,2,,146,LRU Cache,Medium,Design,,,,,
13,2,,394,Decode String,Medium,Stack,,,,,
15,3,,704,Binary Search,Easy,Binary Search,,,,,
15,3,,33,Search in Rotated Sorted Array,Medium,Binary Search,,,,,
15,3,,153,Find Minimum in Rotated Sorted Array,Medium,Binary Search,,,,,
16,3,,875,Koko Eating Bananas,Medium,Binary Search on Answer,,,,,
16,3,,981,Time Based Key-Value Store,Medium,Binary Search,,,,,
16,3,,4,Median of Two Sorted Arrays,Hard,Binary Search,,,,,
17,3,,226,Invert Binary Tree,Easy,DFS,,,,,
17,3,,104,Maximum Depth of Binary Tree,Easy,DFS,,,,,
17,3,,543,Diameter of Binary Tree,Easy,DFS,,,,,
17,3,,100,Same Tree,Easy,DFS,,,,,
18,3,,102,Binary Tree Level Order Traversal,Medium,BFS,,,,,
18,3,,199,Binary Tree Right Side View,Medium,BFS/DFS,,,,,
18,3,,1448,Count Good Nodes in Binary Tree,Medium,DFS,,,,,
18,3,,103,Binary Tree Zigzag Level Order,Medium,BFS,,,,,
19,3,,98,Validate Binary Search Tree,Medium,DFS with Bounds,,,,,
19,3,,235,Lowest Common Ancestor of BST,Medium,BST Property,,,,,
19,3,,701,Insert into a Binary Search Tree,Medium,BST Insert,,,,,
19,3,,173,Binary Search Tree Iterator,Medium,Stack + In-order,,,,,
20,3,,74,Search a 2D Matrix,Medium,Binary Search,,,,,
20,3,,110,Balanced Binary Tree,Easy,DFS,,,,,
20,3,,230,Kth Smallest Element in a BST,Medium,In-order DFS,,,,,
22,4,,215,Kth Largest Element in an Array,Medium,Heap,,,,,
22,4,,973,K Closest Points to Origin,Medium,Heap,,,,,
22,4,,621,Task Scheduler,Medium,Heap + Greedy,,,,,
23,4,,295,Find Median from Data Stream,Hard,Two Heaps,,,,,
23,4,,23,Merge K Sorted Lists,Hard,Heap + Linked List,,,,,
23,4,,1046,Last Stone Weight,Easy,Max Heap,,,,,
24,4,,200,Number of Islands,Medium,BFS/DFS Grid,,,,,
24,4,,133,Clone Graph,Medium,BFS + HashMap,,,,,
24,4,,994,Rotting Oranges,Medium,Multi-source BFS,,,,,
25,4,,417,Pacific Atlantic Water Flow,Medium,DFS/BFS from Borders,,,,,
25,4,,130,Surrounded Regions,Medium,DFS from Borders,,,,,
25,4,,695,Max Area of Island,Medium,DFS Grid,,,,,
26,4,,323,Number of Connected Components,Medium,Union-Find,,,,,
26,4,,684,Redundant Connection,Medium,Union-Find,,,,,
26,4,,261,Graph Valid Tree,Medium,Union-Find/BFS,,,,,
29,5,,70,Climbing Stairs,Easy,DP 1D,,,,,
29,5,,198,House Robber,Medium,DP 1D,,,,,
